#category	org	brand	title	model_or_series	doc_type	language	publication_date	url
manufacturers	Siemens	Siemens	SITRANS F M MAG 5000/6000 Operating Instructions	MAG5000-MAG6000	operating_instructions	en	2013-12	https://cache.industry.siemens.com/dl/files/888/85671888/att_40419/v1/MAG_5000-6000_Eng_en-US.pdf
manufacturers	Siemens	Siemens	SITRANS FM MAG 5100 W Operating Instructions	MAG5100W	operating_instructions	en		https://cache.industry.siemens.com/dl/files/684/109810684/att_1103287/v1/A5E03063678en_SITRANS_FM_MAG5100W_OI_en-US.pdf

manufacturers	ABB	ABB	Aztec AWT440 Multi-input transmitter Operating Instruction	AWT440	operating_instructions	en		https://library.e.abb.com/public/9d7d1ed72fd442cca99efc141c4c212c/OI_AWT440-EN_D.pdf
manufacturers	ABB	ABB	Aztec ATS430 Turbidity sensor Operating Instruction	ATS430	operating_instructions	en		https://library.e.abb.com/public/4fd9b6c3f456430b9e4ba78b2aabb753/OI_ATS430-EN_J.pdf

manufacturers	Badger Meter	Badger Meter	Cox Precision Meters Manual		manual	en		https://badgermeter.com/resources/d749f1f9-7d1d-400f-aee6-a97398d2cd77/cox%20precision%20meters%20manual%20tur-um-00477-en.pdf

gov_edu	US EPA	EPA	U.S. Steel Midwest Revised O&M / Preventative Maintenance Program Plan – Wastewater Treatment		operations_and_maintenance_manual	en	2018-06-26	https://www.epa.gov/sites/default/files/2018-07/documents/uss-midwest-revised-om-pmpp-manual-submitted-20180626-184pp.pdf
gov_edu	US EPA	EPA	Water Treatment Plant Model v2.0 User's Manual	WTP Model	user_manual	en	2001-05-18	https://www.epa.gov/sites/default/files/2017-03/documents/wtp_model_v._2.0_manual_508.pdf

gov_edu	CDC	CDC	Water treatment while hiking, camping, and traveling		guide	en		https://www.cdc.gov/healthywater/pdf/drinking/backcountry_water_treatment-508.pdf

gov_edu	Oregon DEQ	Oregon DEQ	Preparation of Operations and Maintenance Manuals for domestic wastewater treatment plants		guidance	en		https://www.oregon.gov/deq/FilterRulemakingDocs/div52-stpommanuals.pdf

gov_edu	Washington State DOH	WA DOH	Standard Operating Procedures for Water Treatment Plants		guidance	en		https://doh.wa.gov/sites/default/files/legacy/Documents/Pubs//331-647.pdf

gov_edu	New Hampshire DES	NH DES	Wastewater Treatment Plant O&M Manual Checklist		checklist	en	2020-01	https://www.des.nh.gov/sites/g/files/ehbemt341/files/documents/2020-01/o+m-checklist.pdf

gov_edu	SA Water	SA Water	TS-0132 Operation and Maintenance Manuals Technical Standard	TS-0132	technical_standard	en	2016-05-20	https://www.sawater.com.au/__data/assets/pdf_file/0011/79247/TS-0132-Operation-and-Maintenance-Manuals-Rev1.0-20160520.pdf
