id,category,org,brand,title,model_or_series,doc_type,language,publication_date,file_name,relative_path,pages,sha256,file_bytes,primary_url,alt_urls
M0020,manufacturers,Clack,Water Specialist,Water Specialist EI Control Valve Programming Manual,WS1/2 EI,programming_manual,en,,clack_water_specialist_ws1_2_ei_programming_manual_water_specialist_ei_control_valve_programming_manual.pdf,manufacturers/clack/clack_water_specialist_ws1_2_ei_programming_manual_water_specialist_ei_control_valve_programming_manual.pdf,24,29c43aadd0c65f7edbb9fe7186797de75fc6d9ec4372f454e047f06cdd21d762,3312666,https://www.clackcorp.com/wp-content/uploads/2025/11/V3435EI-WS1-2-EI-MANUAL-PROGRAMMING.pdf,"[""https://www.clackcorp.com/wp-content/uploads/2025/11/V3435EI-WS1-2-EI-MANUAL-PROGRAMMING.pdf""]"
M0021,manufacturers,Watts,Watts,"Installation, Operation and Maintenance Manual (WQ-PWSR)",WQ-PWSR,iom,en,,watts_watts_wq_pwsr_iom_installation_operation_and_maintenance_manual_wq_pwsr.pdf,manufacturers/watts/watts_watts_wq_pwsr_iom_installation_operation_and_maintenance_manual_wq_pwsr.pdf,28,822b2e90ed0a981d201780d77b1d4eb6bf4285505e79c414b14df6b715bffc6a,6287340,https://www.watts.com/dfsmedia/0533dbba17714b1ab581ab07a4cbb521/29606-source/638815501660000000/2915216-pdf.pdf,"[""https://www.watts.com/dfsmedia/0533dbba17714b1ab581ab07a4cbb521/29606-source/638815501660000000/2915216-pdf.pdf""]"
M0022,manufacturers,Watts,Watts,Model 5600SE Downflow Service Manual,5600SE,service_manual,en,,watts_watts_5600se_service_manual_model_5600se_downflow_service_manual.pdf,manufacturers/watts/watts_watts_5600se_service_manual_model_5600se_downflow_service_manual.pdf,32,c089ad94e4c0351c353863e87a4ab5baa299431799d45e1e3493ae6131f24e8a,1242924,https://www.watts.com/dfsmedia/0533dbba17714b1ab581ab07a4cbb521/12118-source/638815501640000000/5600se-pdf.pdf,"[""https://www.watts.com/dfsmedia/0533dbba17714b1ab581ab07a4cbb521/12118-source/638815501640000000/5600se-pdf.pdf""]"
M0023,manufacturers,Watts,Watts,"1"" Commercial Water Softeners IOM (WQ-LC-100)",WQ-LC-100,iom,en,,watts_watts_wq_lc_100_iom_1_commercial_water_softeners_iom_wq_lc_100.pdf,manufacturers/watts/watts_watts_wq_lc_100_iom_1_commercial_water_softeners_iom_wq_lc_100.pdf,52,2633b0577d6798e380edacc53340fda83a3f71e40665887163d0811dd33c40a6,12274654,https://www.watts.com/dfsmedia/0533dbba17714b1ab581ab07a4cbb521/232782-source/638459318660000000/68110417-iom-wq-lc-100-2142.pdf,"[""https://www.watts.com/dfsmedia/0533dbba17714b1ab581ab07a4cbb521/232782-source/638459318660000000/68110417-iom-wq-lc-100-2142.pdf""]"
M0024,manufacturers,Watts,Watts,Water Softener Installation Instructions,,installation_manual,en,,watts_watts_installation_manual_water_softener_installation_instructions.pdf,manufacturers/watts/watts_watts_installation_manual_water_softener_installation_instructions.pdf,44,83992b804571ba62c1368053712501306737838a3df6c6fb370e99430367e6cb,1152294,https://www.watts.com/dfsmedia/0533dbba17714b1ab581ab07a4cbb521/12079-source/638815501620000000/2850-pdf.pdf,"[""https://www.watts.com/dfsmedia/0533dbba17714b1ab581ab07a4cbb521/12079-source/638815501620000000/2850-pdf.pdf""]"
M0025,manufacturers,Xylem,Goulds Water Technology,"Deep Well Turbine Pumps Installation, Operation, and Maintenance Manual",DWT,IOM,en,,xylem_goulds_water_technology_dwt_iom_deep_well_turbine_pumps_installation_operation_and_maintenance_manual.pdf,manufacturers/xylem/xylem_goulds_water_technology_dwt_iom_deep_well_turbine_pumps_installation_operation_and_maintenance_manual.pdf,28,0053991f9ef4e406b2b58bae5f193c8040d96a12c2ff39c9d5707a0070669954,911979,https://www.xylem.com/siteassets/brand/goulds-water-technology/resources/manual/iomgwdwtr02.pdf,"[""https://www.xylem.com/siteassets/brand/goulds-water-technology/resources/manual/iomgwdwtr02.pdf""]"
M0026,manufacturers,Grundfos,Grundfos,DMX 227 Dosing pump Installation and operating instructions,DMX227,installation_operating_instructions,en,,grundfos_grundfos_dmx227_installation_operating_instructions_dmx_227_dosing_pump_installation_and_operating_instructions.pdf,manufacturers/grundfos/grundfos_grundfos_dmx227_installation_operating_instructions_dmx_227_dosing_pump_installation_and_operating_instructions.pdf,22,d3370fd4b371d4e28d76a333bde0641ab27c990449ee085b3840687323c6c5c1,1308807,https://api.grundfos.com/literature/Grundfosliterature-413716.pdf,"[""https://api.grundfos.com/literature/Grundfosliterature-413716.pdf""]"
M0027,manufacturers,Grundfos,Grundfos,DME Digital dosing pumps Data Booklet,DME,data_booklet,en,,grundfos_grundfos_dme_data_booklet_dme_digital_dosing_pumps_data_booklet.pdf,manufacturers/grundfos/grundfos_grundfos_dme_data_booklet_dme_digital_dosing_pumps_data_booklet.pdf,24,71b960fe56954662614cb7f7561bfabd39cd5173830309c46c5be59e4901ce2d,2911049,https://api.grundfos.com/literature/Grundfosliterature-5153618.pdf,[]
M0028,manufacturers,Grundfos,Grundfos,DTS Dosing tank station Installation and operating instructions,DTS,installation_operating_instructions,en,,grundfos_grundfos_dts_installation_operating_instructions_dts_dosing_tank_station_installation_and_operating_instructions.pdf,manufacturers/grundfos/grundfos_grundfos_dts_installation_operating_instructions_dts_dosing_tank_station_installation_and_operating_instructions.pdf,16,9d000198127969b5c5b9760d037a8be86aa35fb5892d9119b0bfe4f9f288333d,2676908,https://api.grundfos.com/literature/Grundfosliterature-5616777.pdf,[]
M0029,manufacturers,Hach,Hach,SC200 Universal Controller (Literature),SC200,product_literature,en,,hach_hach_sc200_product_literature_sc200_universal_controller_literature.pdf,manufacturers/hach/hach_hach_sc200_product_literature_sc200_universal_controller_literature.pdf,6,b0bc790e6c75cdb6ec5e9b1e37f765b38dc2e65d6187ac025860fb0c9ea5e309,919108,https://cdn.hach.com/7FYZVWYB/at/vxgfp93mrxjv5qh7k57snbm/LIT2665.pdf,[]
M0030,manufacturers,Siemens,Siemens,SITRANS FM MAG 5100 W Operating Instructions,MAG5100W,operating_instructions,en,,siemens_siemens_mag5100w_operating_instructions_sitrans_fm_mag_5100_w_operating_instructions.pdf,manufacturers/siemens/siemens_siemens_mag5100w_operating_instructions_sitrans_fm_mag_5100_w_operating_instructions.pdf,,8531e56602d42c68ee6dc719f577096a00f42e2a43c570d1761b240e2716add7,4239129,https://cache.industry.siemens.com/dl/files/684/109810684/att_1103287/v1/A5E03063678en_SITRANS_FM_MAG5100W_OI_en-US.pdf,[]
M0031,manufacturers,ABB,ABB,Aztec AWT440 Multi-input transmitter Operating Instruction,AWT440,operating_instructions,en,,abb_abb_awt440_operating_instructions_aztec_awt440_multi_input_transmitter_operating_instruction.pdf,manufacturers/abb/abb_abb_awt440_operating_instructions_aztec_awt440_multi_input_transmitter_operating_instruction.pdf,52,216c12f643fc24e0139883c0e735d3bdb1c694f00c01ea40d75feef87ad24022,7703349,https://library.e.abb.com/public/9d7d1ed72fd442cca99efc141c4c212c/OI_AWT440-EN_D.pdf,[]
M0032,manufacturers,ABB,ABB,Aztec ATS430 Turbidity sensor Operating Instruction,ATS430,operating_instructions,en,,abb_abb_ats430_operating_instructions_aztec_ats430_turbidity_sensor_operating_instruction.pdf,manufacturers/abb/abb_abb_ats430_operating_instructions_aztec_ats430_turbidity_sensor_operating_instruction.pdf,,28fc527e2ca5502856be2c19443a7271f0060ada6032bb47cc6c0655fc65e2fe,7512554,https://library.e.abb.com/public/4fd9b6c3f456430b9e4ba78b2aabb753/OI_ATS430-EN_J.pdf,[]
M0033,gov_edu,US EPA,EPA,U.S. Steel Midwest Revised O&M / Preventative Maintenance Program Plan – Wastewater Treatment,,operations_and_maintenance_manual,en,2018-06-26,us_epa_epa_operations_and_maintenance_manual_u_s_steel_midwest_revised_o_m_preventative_maintenance_program_plan_wastewater_treatment.pdf,gov_edu/us_epa/us_epa_epa_operations_and_maintenance_manual_u_s_steel_midwest_revised_o_m_preventative_maintenance_program_plan_wastewater_treatment.pdf,184,b13daa0862ea619e2d22002c2bb6a19d2ac87d2ecfe2e1c88e26846dd3e35533,3856765,https://www.epa.gov/sites/default/files/2018-07/documents/uss-midwest-revised-om-pmpp-manual-submitted-20180626-184pp.pdf,[]
M0034,gov_edu,CDC,CDC,"Water treatment while hiking, camping, and traveling",,guide,en,,cdc_cdc_guide_water_treatment_while_hiking_camping_and_traveling.pdf,gov_edu/cdc/cdc_cdc_guide_water_treatment_while_hiking_camping_and_traveling.pdf,2,72020779b8e14b0d7cf2bb498e3912d0d2c212bcc894f294326e84896c0ee096,773187,https://www.cdc.gov/healthywater/pdf/drinking/backcountry_water_treatment-508.pdf,[]
M0035,gov_edu,Oregon DEQ,Oregon DEQ,Preparation of Operations and Maintenance Manuals for domestic wastewater treatment plants,,guidance,en,,oregon_deq_oregon_deq_guidance_preparation_of_operations_and_maintenance_manuals_for_domestic_wastewater_treatment_plants.pdf,gov_edu/oregon_deq/oregon_deq_oregon_deq_guidance_preparation_of_operations_and_maintenance_manuals_for_domestic_wastewater_treatment_plants.pdf,13,396315809feb0a4a93adce3c53d4efb228648d743f751349f2a60f68cdc13080,141231,https://www.oregon.gov/deq/FilterRulemakingDocs/div52-stpommanuals.pdf,[]
M0036,gov_edu,Washington State DOH,WA DOH,Standard Operating Procedures for Water Treatment Plants,,guidance,en,,washington_state_doh_wa_doh_guidance_standard_operating_procedures_for_water_treatment_plants.pdf,gov_edu/washington_state_doh/washington_state_doh_wa_doh_guidance_standard_operating_procedures_for_water_treatment_plants.pdf,7,dbaa5e4aff39bebb314639d2fe93e08834f246a905bdfeffee41a94766e22e5d,170252,https://doh.wa.gov/sites/default/files/legacy/Documents/Pubs//331-647.pdf,[]
